lon,lat,clase,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo
126.647177,37.224601,1,11.642117500305176,8.636937141418457,1230.0,82.45149993896484,88.0,16.0,5.5
88.346473,27.292471,1,17.21270751953125,9.49708366394043,2455.0,105.9245376586914,42.0,1785.0,5.2
80.405,6.991,1,25.686290740966797,7.270082950592041,4338.0,41.996070861816406,463.0,277.0,5.3
117.948158,27.652366,1,18.146541595458984,9.148917198181152,1756.0,65.27096557617188,172.0,280.0,5.2
80.522138,6.851416,1,20.1875,7.863833427429199,3218.0,40.558311462402344,371.0,1229.0,5.0
80.567715,6.829122,1,18.887916564941406,7.5500006675720215,2983.0,40.153541564941406,345.0,1442.0,5.2
119.540642,35.784317,1,12.3482084274292,9.021916389465332,794.0,97.44100189208984,35.0,121.0,6.8
135.672347,35.016789,1,14.561249732971191,8.837166786193848,1619.0,43.462154388427734,207.0,176.0,5.6
-84.290478,33.780727,1,16.429332733154297,11.482500076293945,1309.0,15.549148559570312,277.0,307.0,5.2
131.561888,33.566897,1,14.468832969665527,7.244166374206543,1805.0,55.982975006103516,178.0,205.0,5.1
139.460908,35.639556,1,14.841291427612305,8.569916725158691,1527.0,46.71638488769531,152.0,84.0,5.5
80.418122,6.441278,1,24.148082733154297,6.4654998779296875,4074.0,34.54012680053711,586.0,507.0,5.2
92.346847,24.471418,1,24.387041091918945,10.143083572387695,2653.0,78.59735107421875,64.0,58.0,5.1
121.496077,24.942928,1,21.068500518798828,5.993833541870117,2789.0,33.47024917602539,414.0,129.0,4.9
80.656678,7.012242,1,21.605459213256836,8.133417129516602,2859.0,26.88181495666504,457.0,999.0,5.1
139.637964,35.443589,1,15.777360916137695,7.985092639923096,1638.0,41.65011215209961,175.0,22.0,5.5
81.062027,6.866071,1,21.478166580200195,7.910666465759277,1860.0,57.36178207397461,153.0,1059.0,5.5
121.305732,23.341234,1,20.77145767211914,5.575916767120361,2156.0,62.8791389465332,188.0,604.0,5.7
135.752595,33.859908,1,14.29283332824707,7.53249979019165,2089.0,47.104103088378906,205.0,345.0,5.4
106.074248,15.1743,1,23.523500442504883,9.059999465942383,2175.0,97.09696960449219,19.0,753.0,5.5
98.596198,19.320079,1,21.270458221435547,10.674416542053223,1138.0,82.979736328125,26.0,1198.0,5.6
80.522216,6.364203,1,23.437458038330078,6.492416858673096,3506.0,33.9451789855957,544.0,636.0,5.2
120.690651,23.468048,1,17.483875274658203,5.856082916259766,2323.0,87.1006851196289,79.0,1203.0,4.7
121.632672,24.939972,1,20.223207473754883,5.4375834465026855,3190.0,30.962108612060547,555.0,317.0,4.7
81.046158,6.876242,1,21.478166580200195,7.910666465759277,1860.0,57.36178207397461,153.0,1059.0,5.4
80.362817,6.013959,1,26.621166229248047,5.470000267028809,2738.0,34.6272087097168,379.0,47.0,5.0
119.172485,25.902109,1,18.378374099731445,6.622250080108643,1396.0,61.12679672241211,113.0,348.0,5.5
121.501185,25.160178,1,20.207000732421875,5.704166889190674,3005.0,26.002685546875,554.0,256.0,4.7
120.796946,23.67237,1,18.488250732421875,5.788000106811523,2420.0,84.40406799316406,95.0,979.0,5.0
29.099318,-2.44472,1,16.66112518310547,9.362915992736816,1692.0,47.877906799316406,107.0,1980.0,4.9
121.260292,24.967622,1,21.31362533569336,6.57408332824707,2275.0,31.46595573425293,324.0,118.0,5.5
80.401351,6.989459,1,25.686290740966797,7.270082950592041,4338.0,41.996070861816406,463.0,277.0,5.3
135.715661,35.020221,1,14.561249732971191,8.837166786193848,1619.0,43.462154388427734,207.0,176.0,5.6
120.732609,22.773926,1,19.607666015625,5.857499599456787,3433.0,100.34947967529297,90.0,825.0,5.1
120.761679,22.694929,1,16.45629119873047,5.486083030700684,3427.0,93.08245849609375,150.0,1435.0,5.2
120.694485,22.607399,1,18.1704158782959,5.652832984924316,3939.0,101.17862701416016,125.0,1121.0,5.0
39.699952,43.696673,1,12.795833587646484,8.0600004196167,1653.0,25.55557632446289,322.0,301.0,5.1
104.767258,25.364456,1,15.24174976348877,9.080833435058594,1241.0,80.62857818603516,65.0,1573.0,6.2
120.637794,23.487836,1,20.209625244140625,5.978083610534668,2588.0,93.1470947265625,75.0,665.0,5.0
