lon,lat,temperatura_media,rango_diurno,precipitacion_anual,estacionalidad_precip,precip_trimestre_seco,elevacion,ph_suelo,prob_idoneidad
-82.80000000000018,8.300000000000004,26.240755081176758,8.982030868530273,3177.0,63.07504653930664,175.0,9.0,5.5,0.11983683836914137
-82.75000000000018,8.300000000000004,26.240755081176758,8.982030868530273,3177.0,63.07504653930664,175.0,9.0,5.5,0.11983683836914137
-82.70000000000019,8.300000000000004,26.248809814453125,8.711905479431152,3344.0,61.956581115722656,175.0,11.0,5.5,0.12932390760744658
-82.65000000000019,8.300000000000004,26.489351272583008,8.647222518920898,2984.0,62.420101165771484,151.0,5.0,5.5,0.08726413030021525
-82.6000000000002,8.300000000000004,26.489351272583008,8.647222518920898,2984.0,62.420101165771484,151.0,5.0,5.5,0.08726413030021525
-82.5500000000002,8.300000000000004,26.497135162353516,8.366146087646484,2982.0,61.73184585571289,150.0,10.0,5.3,0.08893985750205731
-83.40000000000015,8.350000000000005,26.331439971923828,9.720454216003418,3596.0,64.92945861816406,176.0,25.0,5.5,0.14388724116034754
-83.35000000000015,8.350000000000005,26.331439971923828,9.720454216003418,3596.0,64.92945861816406,176.0,25.0,5.5,0.14388724116034754
-83.30000000000015,8.350000000000005,25.59903907775879,9.649999618530273,3361.0,63.55267333984375,178.0,165.0,5.5,0.27565692747032455
-83.25000000000016,8.350000000000005,25.59903907775879,9.649999618530273,3361.0,63.55267333984375,178.0,165.0,5.5,0.27565692747032455
-83.15000000000016,8.350000000000005,25.454166412353516,9.466379165649414,3338.0,65.94209289550781,178.0,182.0,5.5,0.37244943608083714
-83.10000000000016,8.350000000000005,25.454166412353516,9.466379165649414,3338.0,65.94209289550781,178.0,182.0,5.2,0.30312317528800903
-83.05000000000017,8.350000000000005,24.87587547302246,9.48075008392334,3062.0,61.00759506225586,216.0,306.0,5.2,0.38897951533840636
-83.00000000000017,8.350000000000005,24.87587547302246,9.48075008392334,3062.0,61.00759506225586,216.0,306.0,5.5,0.5083681150633469
-82.95000000000017,8.350000000000005,25.624916076660156,9.30150032043457,3109.0,60.749420166015625,211.0,144.0,5.2,0.21320527045954824
-82.90000000000018,8.350000000000005,26.180583953857422,9.19849967956543,2996.0,60.05000305175781,188.0,28.0,5.3,0.10197619457327672
-82.85000000000018,8.350000000000005,26.180583953857422,9.19849967956543,2996.0,60.05000305175781,188.0,28.0,5.5,0.11398765490423822
-82.80000000000018,8.350000000000005,26.322166442871094,9.10433292388916,2965.0,59.48490905761719,194.0,13.0,5.7,0.10756032285865004
-82.75000000000018,8.350000000000005,26.322166442871094,9.10433292388916,2965.0,59.48490905761719,194.0,13.0,5.6,0.1018765589434819
-82.70000000000019,8.350000000000005,26.399250030517578,8.98799991607666,3050.0,66.65724182128906,163.0,12.0,5.7,0.14100881155418027
-82.65000000000019,8.350000000000005,26.477916717529297,8.970166206359863,2981.0,67.64390563964844,175.0,22.0,5.6,0.1402987490076966
